"utc","phase","nested_vm_entries_sec","total_intercepts_sec","__guest_run_time","__hypervisor_run_time","msr_accesses_sec","hypercalls_sec","nested_page_fault_intercepts_sec","long_spin_wait_hypercalls_sec"
"2026-09-06T00:42:00.1207678Z","baseline","0","155.99","0.54","0.03","100.35","14.9","0","0"
"2026-09-06T00:42:02.1364887Z","baseline","0","265.58","1.11","0.08","152.76","3","0","0"
"2026-09-06T00:42:04.1698292Z","baseline","0","136.07","0.17","0.03","98.6","10.85","0","0"
"2026-09-06T00:42:06.2067107Z","baseline","0","181.62","1.51","0.04","120.74","7.98","0","0"
"2026-09-06T00:42:08.2409846Z","baseline","0","84.89","0.11","0.01","65.15","1.97","0","0"
"2026-09-06T00:42:10.2658963Z","baseline","0","414.33","1.95","0.11","279.85","18.79","0","0"
"2026-09-06T00:42:12.2841183Z","baseline","0","231.53","1.87","0.05","141.87","13.79","0","0"
"2026-09-06T00:42:14.3173668Z","baseline","0","136.07","0.42","0.03","100.31","6.95","0","0"
"2026-09-06T00:42:16.3266404Z","baseline","0","385.92","4.18","0.07","157.97","24.99","0","0"
"2026-09-06T00:42:18.3333915Z","baseline","0","946.53","10.98","0.15","208.12","71.04","0","0"
"2026-09-06T00:42:21.5085428Z","calibrate","0","417.5","4.33","0.1","254.26","42.54","0","0"
"2026-09-06T00:42:23.5162089Z","calibrate","0","402.75","0.75","0.08","248.85","103.94","0","0"
"2026-09-06T00:42:25.5239033Z","calibrate","0","949.37","18.98","0.18","157.89","173.88","0","0"
"2026-09-06T00:42:27.5556658Z","calibrate","0","248.91","6.54","0.05","122.48","3.95","0","0"
"2026-09-06T00:42:29.5708651Z","calibrate","0","174.24","0.81","0.04","116.82","6.93","0","0"
"2026-09-06T00:42:31.5909506Z","calibrate","0","80.07","0.26","0.02","58.32","3.95","0","0"
"2026-09-06T00:42:33.5933455Z","calibrate","0","61.98","0.1","0.01","44.98","2","0","0"
"2026-09-06T00:42:35.6205153Z","calibrate","0","252.74","1.82","0.06","158.95","43.44","0","0"
"2026-09-06T00:42:37.7598943Z","observe","0","607","12.69","0.11","168.17","71.65","0","0"
"2026-09-06T00:42:39.7886362Z","observe","0","520.82","6.29","0.12","231.59","126.23","0","0"
"2026-09-06T00:42:41.8069353Z","observe","0","157.7","1.39","0.03","113.06","5.95","0","0"
"2026-09-06T00:42:43.8222094Z","observe","0","120.07","0.23","0.03","90.05","5","0","0"
"2026-09-06T00:42:45.8517476Z","observe","0","148.81","0.3","0.03","105.45","11.83","0","0"
"2026-09-06T00:42:47.8932737Z","observe","0","231.61","3.22","0.04","101.51","15.77","0","0"
"2026-09-06T00:42:49.9236191Z","observe","0","507.46","9.03","0.14","248.79","17.77","0","0"
"2026-09-06T00:42:51.9479326Z","observe","0","250.31","4.15","0.06","126.15","20.86","0","0"
"2026-09-06T00:42:53.9556184Z","observe","0","140.41","0.66","0.03","93.61","13.94","0","0"
"2026-09-06T00:42:55.9708903Z","observe","0","755.92","16.81","0.14","138.52","46.5","0","0"
"2026-09-06T00:42:57.9836370Z","observe","0","718.7","16.75","0.15","126.25","111.33","0","0"
"2026-09-06T00:43:00.0164695Z","observe","0","178.04","1.18","0.04","117.7","10.88","0","0"
"2026-09-06T00:43:02.0332261Z","observe","0","95.79","0.11","0.02","71.84","2","0","0"
"2026-09-06T00:43:04.0608398Z","observe","0","67.11","0.13","0.01","49.35","1.97","0","0"
"2026-09-06T00:43:06.0901912Z","observe","0","82.99","0.28","0.02","59.28","4.94","0","0"
"2026-09-06T00:43:08.1099382Z","observe","0","132.55","0.21","0.03","95.68","10.96","0","0"
"2026-09-06T00:43:10.1315541Z","observe","0","263.74","1.91","0.06","174.17","24.88","0","0"
"2026-09-06T00:43:12.1562307Z","observe","0","56.58","0.09","0.01","39.71","2.98","0","0"
"2026-09-06T00:43:14.1861406Z","observe","0","101.75","0.17","0.03","75.81","2","0","0"
"2026-09-06T00:43:16.2008915Z","observe","0","53.96","0.12","0.01","37.97","4","0","0"
"2026-09-06T00:43:18.2194235Z","observe","0","133.11","0.8","0.03","83.81","14.79","0","0"
"2026-09-06T00:43:20.2328201Z","observe","0","175.17","0.56","0.04","122.72","4.95","0","0"
"2026-09-06T00:43:22.2496529Z","observe","0","70.21","0.15","0.02","51.42","1.98","0","0"
"2026-09-06T00:43:24.2850601Z","observe","0","81.85","0.16","0.02","61.14","1.97","0","0"
"2026-09-06T00:43:26.3065191Z","observe","0","100.54","0.39","0.03","69","7.89","0","0"
"2026-09-06T00:43:28.3248783Z","observe","0","122.53","1.16","0.03","78.06","2.96","0","0"
"2026-09-06T00:43:30.3481912Z","observe","0","132.93","0.29","0.03","95.52","8.86","0","0"
"2026-09-06T00:43:32.3655245Z","observe","0","88.78","0.16","0.02","65.1","1.97","0","0"
"2026-09-06T00:43:34.3790698Z","observe","0","49.74","0.12","0.01","37.8","1.99","0","0"
"2026-09-06T00:43:36.3868424Z","observe","0","103.85","0.39","0.02","69.9","7.99","0","0"
"2026-09-06T00:43:38.4249715Z","observe","0","55.51","0.41","0.02","37.67","1.98","0","0"
"2026-09-06T00:43:40.4533078Z","observe","0","207.56","0.36","0.06","147.27","3.95","0","0"
"2026-09-06T00:43:42.4633302Z","observe","0","554.58","11.9","0.14","166.27","122.46","0","0"
"2026-09-06T00:43:44.4902335Z","observe","0","71.25","0.11","0.02","53.44","1.98","0","0"
"2026-09-06T00:43:46.4972763Z","observe","0","134.88","0.23","0.04","83.92","7.99","0","0"
"2026-09-06T00:43:48.5087261Z","observe","0","46.94","0.1","0.01","33.96","3","0","0"
"2026-09-06T00:43:50.5262324Z","observe","0","84.87","0.59","0.02","61.18","1.97","0","0"
"2026-09-06T00:43:52.5466657Z","observe","0","347.72","4.94","0.06","89.64","3.94","0","0"
"2026-09-06T00:43:54.5627161Z","observe","0","79.97","0.17","0.02","56.98","7","0","0"
"2026-09-06T00:43:56.5881141Z","observe","0","79.82","0.11","0.02","60.86","3.99","0","0"
"2026-09-06T00:43:58.5994633Z","observe","0","69.96","0.26","0.01","51.97","2","0","0"
"2026-09-06T00:44:00.6264487Z","observe","0","245.98","1.3","0.07","146.21","7.9","0","0"
"2026-09-06T00:44:02.6652400Z","observe","0","122.75","0.22","0.03","85.13","16.83","0","0"
"2026-09-06T00:44:04.6891095Z","observe","0","54.21","0.11","0.01","40.41","1.97","0","0"
"2026-09-06T00:44:06.6951494Z","observe","0","59.84","0.11","0.01","41.89","1.99","0","0"
