"utc","phase","nested_vm_entries_sec","total_intercepts_sec","__guest_run_time","__hypervisor_run_time","msr_accesses_sec","hypercalls_sec","nested_page_fault_intercepts_sec","total_virtualization_instructions_emulated_sec","vmread_emulation_intercepts_sec","vmwrite_emulation_intercepts_sec","vmptrld_emulation_intercepts_sec","vmclear_emulation_intercepts_sec","vmxon_emulation_intercepts_sec","vmxoff_emulation_intercepts_sec","invept_single_context_emulation_intercepts_sec","invept_all_context_emulation_intercepts_sec","emulated_instructions_sec","page_fault_intercepts_sec","memory_intercept_messages_sec","io_intercept_messages_sec","other_intercepts_sec"
"2026-09-06T01:25:16.6260454Z","baseline","0","175.02","5.96","0.05","88.01","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:18.6445556Z","baseline","0","163.77","1.68","0.05","105.21","28.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:20.6614573Z","baseline","0","72.52","0.16","0.01","68.54","1.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:22.6670019Z","baseline","0","537.65","7.72","0.12","263.83","67.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:24.6875999Z","baseline","0","348.71","3.64","0.12","209.42","72.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:26.7150438Z","baseline","0","758.79","23.55","0.19","175.86","68.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:28.7338653Z","baseline","0","438.48","8.52","0.15","203.97","105.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:30.7643596Z","baseline","0","413.93","7.35","0.15","195.08","101.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:32.7806396Z","baseline","0","397.22","7.3","0.14","192.17","96.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:34.8098670Z","baseline","0","336.33","3.19","0.04","139.07","25.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:37.9710016Z","calibrate","0","74.32","1.41","0.01","55.5","1.98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:40.0824289Z","calibrate","0","193.17","1.43","0.05","112.35","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:42.1055704Z","calibrate","0","476.94","0.19","0.08","68.42","9.92","397.62","0","0","0","0","0","0","0","0","0","0","0","397.62","0","0"
"2026-09-06T01:25:44.1105133Z","calibrate","0","960.94","25.28","0.2","134.99","196.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:46.1406375Z","calibrate","0","1058.35","14.41","0.18","252.18","108.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:48.1588261Z","calibrate","0","1739.59","43.88","0.38","181.39","338.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:50.1868740Z","calibrate","0","377.41","6.28","0.12","183.28","70.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:52.2101336Z","calibrate","0","138.43","0.74","0.04","127.56","3.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:54.3513754Z","observe","0","692.58","13.92","0.13","200.28","76.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-09-06T01:25:56.3821661Z","observe","0","109555.91","0.13","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109316.45","0"
"2026-09-06T01:25:58.3879377Z","observe","0","112307.97","0.11","17.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112054.4","0"
"2026-09-06T01:26:00.4025053Z","observe","0","106520.06","0.15","17.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106232.35","0"
"2026-09-06T01:26:02.4350746Z","observe","0","96570.53","0.12","16.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96383.24","0"
"2026-09-06T01:26:04.4669874Z","observe","0","119161.78","0.1","18.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118928.03","0"
"2026-09-06T01:26:06.5570648Z","observe","0","69091.8","0.09","11.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68935.91","0"
"2026-09-06T01:26:08.5766511Z","observe","0","100094.84","0.09","16.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99917.85","0"
"2026-09-06T01:26:10.6111901Z","observe","0","109608.08","0.1","18.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109392.93","0"
"2026-09-06T01:26:12.6433066Z","observe","0","115617.86","0.1","18.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115326.14","0"
"2026-09-06T01:26:14.6653897Z","observe","0","124996.87","0.11","19.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124718.86","0"
