"utc","phase","nested_vm_entries_sec","total_intercepts_sec","__guest_run_time","__hypervisor_run_time","msr_accesses_sec","hypercalls_sec","nested_page_fault_intercepts_sec","total_virtualization_instructions_emulated_sec","vmread_emulation_intercepts_sec","vmwrite_emulation_intercepts_sec","vmptrld_emulation_intercepts_sec","vmclear_emulation_intercepts_sec","vmxon_emulation_intercepts_sec","vmxoff_emulation_intercepts_sec","invept_single_context_emulation_intercepts_sec","invept_all_context_emulation_intercepts_sec","emulated_instructions_sec","page_fault_intercepts_sec","memory_intercept_messages_sec","io_intercept_messages_sec","other_intercepts_sec"
"2026-09-06T00:55:41.9863897Z","observe","0","105726.57","0.1","16.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105457.78","0"
"2026-09-06T00:55:44.0094840Z","observe","0","101387.76","0.11","16.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101152.08","0"
"2026-09-06T00:55:46.0422739Z","observe","0","103569.27","0.1","16.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103299.01","0"
"2026-09-06T00:55:48.0540440Z","observe","0","100917.04","0.1","16.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100655.9","0"
"2026-09-06T00:55:50.0760403Z","observe","0","104767.22","0.12","16.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104479.01","0"
"2026-09-06T00:55:52.0891059Z","observe","0","79569.88","0.09","12.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79362.74","0"
"2026-09-06T00:55:54.1013208Z","observe","0","106189.34","0.1","16.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105909.64","0"
"2026-09-06T00:55:56.1169708Z","observe","0","91140.72","0.13","15.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90830.81","0"
"2026-09-06T00:55:58.1301422Z","observe","0","104235.42","0.18","17.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103779.84","0"
"2026-09-06T00:56:00.1412680Z","observe","0","103256.26","0.31","19.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102850.2","0"
"2026-09-06T00:56:02.1590781Z","observe","0","112414.78","0.13","18.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112075.39","0"
"2026-09-06T00:56:04.1896271Z","observe","0","86683.35","0.1","13.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86466.65","0"
"2026-09-06T00:56:06.2004694Z","observe","0","105908.09","0.11","16.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105590.47","0"
"2026-09-06T00:56:08.2263543Z","observe","0","122379.79","0.11","19.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122057.43","0"
"2026-09-06T00:56:10.3002649Z","observe","0","97935.09","0.11","15.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97700.87","0"
"2026-09-06T00:56:12.3274940Z","observe","0","84484.02","0.1","13.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84250.88","0"
"2026-09-06T00:56:14.3385293Z","observe","0","98581.33","0.13","16.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98319.85","0"
"2026-09-06T00:56:16.3524637Z","observe","0","127595.96","0.11","19.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127250.41","0"
"2026-09-06T00:56:18.3723197Z","observe","0","103739.76","0.08","16.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103445.08","0"
"2026-09-06T00:56:20.3810309Z","observe","0","123030.04","0.12","19.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122741.09","0"
"2026-09-06T00:56:22.4088848Z","observe","0","117859.68","0.16","20.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117563.67","0"
"2026-09-06T00:56:24.4136156Z","observe","0","96957.19","0.1","15.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96684.29","0"
"2026-09-06T00:56:26.4239005Z","observe","0","117854.49","0.11","18.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117540.59","0"
"2026-09-06T00:56:28.4437756Z","observe","0","111114.89","0.08","17.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110848.61","0"
"2026-09-06T00:56:30.4634432Z","observe","0","93047.08","0.09","14.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92767.28","0"
"2026-09-06T00:56:32.5027555Z","observe","0","118257.94","0.12","18.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117993.26","0"
